eventID,type,language,licence,rightsHolder,institutionCode,datasetName,locationID,dateIdentified,decimalLatitude,decimalLongitude,habitat,municipality,comments,eventDate
ITG:MOSQ:LARV:EV:ATL001Au1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,ATL001,2012/8/8,51.213511,4.193505,tyre,Beveren,Vrasene,2012/8/7
ITG:MOSQ:LARV:EV:ATL001Au2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,ATL001,2012/9/14,51.213511,4.193505,tyre,Beveren,Vrasene,2012/8/29
ITG:MOSQ:LARV:EV:ATL001Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,ATL001,2012/10/25,51.213511,4.193505,tyre,Beveren,Vrasene,2012/10/1
ITG:MOSQ:LARV:EV:ATL001Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,ATL001,2012/9/14,51.213511,4.193505,tyre,Beveren,Vrasene,2012/9/11
ITG:MOSQ:LARV:EV:DIL001Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,DIL001,2012/8/2,51.039147,5.398155,tyre,Houthalen-Helchteren,,2012/8/1
ITG:MOSQ:LARV:EV:M2L001Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L001,2012/7/26,50.996036,5.620467,dirt tracks,Maasmechelen,next to forest M1,2012/7/25
ITG:MOSQ:LARV:EV:M2L002Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L002,2012/9/13,50.996695,5.621543,tyre,Maasmechelen,,2012/8/30
ITG:MOSQ:LARV:EV:M2L002Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L002,2012/7/26,50.996695,5.621543,tyre,Maasmechelen,,2012/7/25
ITG:MOSQ:LARV:EV:M2L002Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L002,2012/10/18,50.996695,5.621543,tyre,Maasmechelen,,2012/10/17
ITG:MOSQ:LARV:EV:M2L002Oc2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L002,2012/10/31,50.996695,5.621543,tyre,Maasmechelen,,2012/10/31
ITG:MOSQ:LARV:EV:M2L002Se1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L002,2012/10/2,50.996695,5.621543,tyre,Maasmechelen,,2012/9/19
ITG:MOSQ:LARV:EV:M2L003Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L003,2012/7/26,50.991993,5.624796,rain water barrel,Maasmechelen,entrance car cemetry Armand Lowie,2012/7/25
ITG:MOSQ:LARV:EV:M2L003Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L003,2012/10/18,50.991993,5.624796,rain water barrel,Maasmechelen,entrance car cemetry Armand Lowie,2012/10/17
ITG:MOSQ:LARV:EV:M2L003Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L003,2012/10/2,50.991993,5.624796,rain water barrel,Maasmechelen,entrance car cemetry Armand Lowie,2012/9/26
ITG:MOSQ:LARV:EV:M2L004Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L004,2012/9/13,50.989847,5.63037,bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg',2012/8/30
ITG:MOSQ:LARV:EV:M2L004Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L004,2012/7/26,50.989847,5.63037,bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg',2012/7/25
ITG:MOSQ:LARV:EV:M2L004Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L004,2012/10/23,50.989847,5.63037,bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg',2012/10/17
ITG:MOSQ:LARV:EV:M2L004Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L004,2012/10/2,50.989847,5.63037,bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg',2012/9/26
ITG:MOSQ:LARV:EV:M2L006Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L006,2012/9/13,50.995636,5.634575,tyre,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/8/30
ITG:MOSQ:LARV:EV:M2L006Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L006,2012/8/2,50.995636,5.634575,tyre,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/7/25
ITG:MOSQ:LARV:EV:M2L006Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L006,2012/10/23,50.995636,5.634575,tyre,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/10/17
ITG:MOSQ:LARV:EV:M2L007Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L007,2012/7/31,50.972468,5.653667,puddle,Maasmechelen,in Nationaal Park Hoge Kempen,2012/7/25
ITG:MOSQ:LARV:EV:M2L009Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L009,2012/7/26,50.950262,5.56362,water trough,Zutendaal,"in meadow, Wiemesmeer",2012/7/25
ITG:MOSQ:LARV:EV:M2L009Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L009,2012/10/3,50.950262,5.56362,water trough,Zutendaal,"in meadow, Wiemesmeer",2012/9/26
ITG:MOSQ:LARV:EV:M2L010Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/9/13,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/8/30
ITG:MOSQ:LARV:EV:M2L010Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/7/26,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/7/25
ITG:MOSQ:LARV:EV:M2L010Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/10/23,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/10/17
ITG:MOSQ:LARV:EV:M2L010Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/10/3,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/9/26
ITG:MOSQ:LARV:EV:M2L011Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L011,2012/7/26,50.959844,5.560445,puddle,Zutendaal,"in meadow, Wiemesmeer",2012/7/25
ITG:MOSQ:LARV:EV:M2L012Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L012,2012/8/9,50.963654,5.554426,bucket,Zutendaal,next to old house in forest,2012/7/25
ITG:MOSQ:LARV:EV:M2L013Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L013,2012/7/26,50.96364,5.554471,bucket,Zutendaal,next to old house in forest,2012/7/25
ITG:MOSQ:LARV:EV:M2L014Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L014,2012/7/30,51.014708,5.588637,water through,As,"Niel-bij-As, in meadow",2012/7/25
ITG:MOSQ:LARV:EV:M2L015Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L015,2012/7/31,51.016441,5.589064,water through,As,"Niel-bij-As, next to meadow",2012/7/25
ITG:MOSQ:LARV:EV:M2L016Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L016,2012/8/2,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/7/25
ITG:MOSQ:LARV:EV:M2L016Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L016,2012/10/23,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/10/17
ITG:MOSQ:LARV:EV:M2L016Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L016,2012/10/3,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/9/26
ITG:MOSQ:LARV:EV:M2L017Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L017,2012/10/25,51.01663,5.600211,water through,As,"Niel-bij-As, in meadow",2012/10/17
ITG:MOSQ:LARV:EV:M2L017Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L017,2012/10/3,51.01663,5.600211,water through,As,"Niel-bij-As, in meadow",2012/9/26
ITG:MOSQ:LARV:EV:M2L019Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L019,2012/9/13,50.996691,5.621658,bucket,Maasmechelen,on private property of APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L019Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L019,2012/10/18,50.996691,5.621658,bucket,Maasmechelen,on private property of APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L019Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L019,2012/10/2,50.996691,5.621658,bucket,Maasmechelen,on private property of APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L020Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/9/13,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L020Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/10/18,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L020Oc2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/10/31,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/10/31
ITG:MOSQ:LARV:EV:M2L020Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/10/2,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L021Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L021,2012/9/13,50.9977608044105,5.6225054870487,tyre,Maasmechelen,APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L021Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L021,2012/10/18,50.9977608044105,5.6225054870487,tyre,Maasmechelen,APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L021Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L021,2012/10/2,50.9977608044105,5.6225054870487,tyre,Maasmechelen,APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L022Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/9/13,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L022Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/10/18,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L022Oc2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/10/25,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/10/24
ITG:MOSQ:LARV:EV:M2L022Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/10/2,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L023Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L023,2012/9/13,50.994774,5.672062,tyre,Maasmechelen,close to road,2012/8/30
ITG:MOSQ:LARV:EV:M2L023Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L023,2012/10/25,50.994774,5.672062,tyre,Maasmechelen,close to road,2012/10/24
ITG:MOSQ:LARV:EV:M2L023Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L023,2012/10/2,50.994774,5.672062,tyre,Maasmechelen,close to road,2012/9/19
ITG:MOSQ:LARV:EV:M2L024Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L024,2012/9/13,50.992849,5.633004,plastic container,Maasmechelen,close to car cemetry Armand Lowie,2012/8/30
ITG:MOSQ:LARV:EV:M2L024Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L024,2012/10/23,50.992849,5.633004,plastic container,Maasmechelen,close to car cemetry Armand Lowie,2012/10/17
ITG:MOSQ:LARV:EV:M2L024Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L024,2012/10/2,50.992849,5.633004,plastic container,Maasmechelen,close to car cemetry Armand Lowie,2012/9/19
ITG:MOSQ:LARV:EV:M2L025Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L025,2012/9/13,50.992564,5.632722,tyre,Maasmechelen,next to car cemetry Armand Lowie,2012/8/30
ITG:MOSQ:LARV:EV:M2L025Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L025,2012/10/23,50.992564,5.632722,tyre,Maasmechelen,next to car cemetry Armand Lowie,2012/10/17
ITG:MOSQ:LARV:EV:M2L025Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L025,2012/10/2,50.992564,5.632722,tyre,Maasmechelen,next to car cemetry Armand Lowie,2012/9/19
ITG:MOSQ:LARV:EV:M2L026Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L026,2012/9/13,50.995305,5.634417,plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/8/30
ITG:MOSQ:LARV:EV:M2L026Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L026,2012/10/23,50.995305,5.634417,plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/10/17
ITG:MOSQ:LARV:EV:M2L026Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L026,2012/10/2,50.995305,5.634417,plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/9/19
ITG:MOSQ:LARV:EV:M2L029Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L029,2012/10/2,50.996684,5.621599,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L030Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L030,2012/10/2,50.99201,5.624144,metal container,Maasmechelen,entrance car cemetry Armand Lowie,2012/9/26
ITG:MOSQ:LARV:EV:M2L033Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L033,2012/10/25,51.016436,5.589155,plastic container,As,"Niel-bij-As, next to meadow (next to M2L015)",2012/10/17
ITG:MOSQ:LARV:EV:M2L033Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L033,2012/10/3,51.016436,5.589155,plastic container,As,"Niel-bij-As, next to meadow (next to M2L015)",2012/9/26
ITG:MOSQ:LARV:EV:M2L035Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L035,2012/10/25,50.996316,5.621583,bucket,Maasmechelen,"black bucket, on private property of APK Infra & Bouw",2012/10/17
ITG:MOSQ:LARV:EV:M2L037Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L037,2012/10/25,51.003673,5.634747,water trough,Dilsen-Stokkem,horse meadow with a lot of water troughs,2012/10/17
ITG:MOSQ:LARV:EV:M2L038Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L038,2012/10/25,50.997802,5.605077,metal container,Maasmechelen,Sand and gravel quarry,2012/10/24
